numeroPedido,clienteId,fechaEntrega,estado,zonaEntrega,requiereRefrigeracion
P3300,CLI-151,2025-11-23,PENDIENTE,ZONA4,TRUE
P3301,CLI-152,2025-11-23,PENDIENTE,ZONA4,TRUE
P3302,CLI-153,2025-11-23,PENDIENTE,ZONA4,TRUE
P3303,CLI-154,2025-11-23,PENDIENTE,ZONA4,TRUE
P3304,CLI-155,2025-11-23,PENDIENTE,ZONA4,TRUE
P3305,CLI-156,2025-11-23,PENDIENTE,ZONA4,TRUE
P3306,CLI-157,2025-11-23,PENDIENTE,ZONA4,TRUE
P3307,CLI-158,2025-11-23,PENDIENTE,ZONA4,TRUE
P3308,CLI-159,2025-11-23,PENDIENTE,ZONA4,TRUE
P3309,CLI-160,2025-11-23,PENDIENTE,ZONA4,TRUE
P3310,CLI-161,2025-11-23,PENDIENTE,ZONA4,TRUE
P3311,CLI-162,2025-11-23,PENDIENTE,ZONA4,TRUE
P3312,CLI-163,2025-11-23,PENDIENTE,ZONA4,TRUE
P3313,CLI-164,2025-11-23,PENDIENTE,ZONA4,TRUE
P3314,CLI-165,2025-11-23,PENDIENTE,ZONA4,TRUE
P3315,CLI-166,2025-11-23,PENDIENTE,ZONA4,TRUE
P3316,CLI-167,2025-11-23,PENDIENTE,ZONA4,TRUE
P3317,CLI-168,2025-11-23,PENDIENTE,ZONA4,TRUE
P3318,CLI-169,2025-11-23,PENDIENTE,ZONA4,TRUE
P3319,CLI-170,2025-11-23,PENDIENTE,ZONA4,TRUE
P3320,CLI-171,2025-11-23,PENDIENTE,ZONA4,TRUE
P3321,CLI-172,2025-11-23,PENDIENTE,ZONA4,TRUE
P3322,CLI-173,2025-11-23,PENDIENTE,ZONA1,TRUE
P3323,CLI-174,2025-11-23,PENDIENTE,ZONA1,TRUE
P3324,CLI-175,2025-11-23,PENDIENTE,ZONA1,TRUE
P3325,CLI-176,2025-11-23,PENDIENTE,ZONA1,TRUE
P3326,CLI-177,2025-11-23,PENDIENTE,ZONA1,TRUE
P3327,CLI-178,2025-11-23,PENDIENTE,ZONA1,TRUE
P3328,CLI-179,2025-11-23,PENDIENTE,ZONA1,TRUE
P3329,CLI-180,2025-11-23,PENDIENTE,ZONA1,TRUE
P3330,CLI-181,2025-11-23,PENDIENTE,ZONA1,TRUE
P3331,CLI-182,2025-11-23,PENDIENTE,ZONA1,TRUE
P3332,CLI-183,2025-11-23,PENDIENTE,ZONA1,TRUE
P3333,CLI-184,2025-11-23,PENDIENTE,ZONA1,TRUE
P3334,CLI-185,2025-11-23,PENDIENTE,ZONA1,TRUE
P3335,CLI-186,2025-11-23,PENDIENTE,ZONA1,TRUE
P3336,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3337,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3338,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3339,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3340,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3341,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3342,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3343,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3344,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3345,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3346,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3347,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3348,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3349,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3350,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3351,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3352,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3353,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3354,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3355,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3356,CLI-123,2025-11-02,PENDIENTE,ZONA1,TRUE
P3357,CLI-123,2025-11-02,PENDIENTE,ZONA1,TRUE
P3358,CLI-123,2025-11-02,PENDIENTE,ZONA1,TRUE
P3359,CLI-123,2025-11-02,PENDIENTE,ZONA1,TRUE
P3360,CLI-123,2025-11-02,PENDIENTE,ZONA1,TRUE
P3361,CLI-123,2025-11-02,PENDIENTE,ZONA1,TRUE
P3362,CLI-123,2025-11-02,PENDIENTE,ZONA1,TRUE
P3363,CLI-123,2025-11-02,PENDIENTE,ZONA1,TRUE
P3364,CLI-123,2025-11-02,PENDIENTE,ZONA1,TRUE
P3365,CLI-123,2025-11-02,PENDIENTE,ZONA1,TRUE
P3366,CLI-123,2025-11-02,PENDIENTE,ZONA1,TRUE
P3367,CLI-123,2025-11-02,PENDIENTE,ZONA1,TRUE
P3368,CLI-123,2025-11-02,PENDIENTE,ZONA1,TRUE
P3369,CLI-123,2025-11-02,PENDIENTE,ZONA1,TRUE
P3370,CLI-123,2025-11-02,PENDIENTE,ZONA1,TRUE
P3371,CLI-123,2025-11-02,PENDIENTE,ZONA1,TRUE
P3372,CLI-123,2025-11-02,PENDIENTE,ZONA1,TRUE
P3373,CLI-123,2025-11-02,PENDIENTE,ZONA1,TRUE
P3374,CLI-123,2025-11-02,PENDIENTE,ZONA1,TRUE
P3375,CLI-123,2025-11-02,PENDIENTE,ZONA1,TRUE
P3376,CLI-123,2025-11-02,PENDIENTE,ZONA1,TRUE
P3377,CLI-123,2025-11-02,PENDIENTE,ZONA1,TRUE
P3378,CLI-123,2025-11-02,PENDIENTE,ZONA1,TRUE
P3379,CLI-123,2025-11-02,PENDIENTE,ZONA1,TRUE
P3380,CLI-123,2025-11-02,PENDIENTE,ZONA1,TRUE
P3381,CLI-123,2025-11-02,PENDIENTE,ZONA1,TRUE
P3382,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3383,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3384,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3385,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3386,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3387,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3388,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3389,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3390,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3391,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3392,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3393,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3394,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3395,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3396,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3397,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3398,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3399,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3400,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3401,CLI-123,2025-11-23,---,ZONA1,TRUE
P3402,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3403,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3404,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3405,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3406,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3407,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3408,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3409,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3410,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3411,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3412,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3413,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3414,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3415,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3416,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3417,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3418,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3419,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3420,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3421,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3422,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3423,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3424,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3425,CLI-123,2025-11-23,PENDIENTE,ZONA56,TRUE
P3426,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3427,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3428,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3429,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3430,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3431,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3432,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3433,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3434,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3435,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3436,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3437,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3438,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3439,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3440,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3441,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3442,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3443,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3444,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3445,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3446,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3447,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3448,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3449,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3450,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3451,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3452,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3453,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3454,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3455,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3456,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3457,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3458,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3459,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3460,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3461,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3462,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3463,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3464,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3465,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3466,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3467,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3468,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3469,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3470,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3471,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3472,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3473,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3474,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3475,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3476,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3477,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3478,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3479,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3480,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3481,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3482,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3483,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3484,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3485,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3486,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3487,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3488,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3489,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3490,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3491,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3492,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3493,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3494,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3495,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3496,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3497,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3498,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3499,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3500,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3501,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3502,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3503,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3504,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3505,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3506,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3507,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3508,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
P3509,CLI-123,2025-11-23,PENDIENTE,ZONA1,TRUE
